mukey,muname,cokey,compname,comppct_r,hydgrp,ksat_r,sandtotal_r,claytotal_r
323141,"Florahome fine sand, 0 to 5 percent slopes",26973453,Florahome,90,A,92.0,94.9,4.5
323141,"Florahome fine sand, 0 to 5 percent slopes",26973454,Seffner,5,A/D,92.0,94.9,4.5
323141,"Florahome fine sand, 0 to 5 percent slopes",26973455,Candler,5,A,92.0,97.9,1.5
323143,"Basinger fine sand, frequently ponded, 0 to 1 percent slopes",26973460,Basinger,90,A/D,92.0,96.3,3.0
323143,"Basinger fine sand, frequently ponded, 0 to 1 percent slopes",26973462,Smyrna,5,A/D,28.23,97.9,1.5
323143,"Basinger fine sand, frequently ponded, 0 to 1 percent slopes",26973461,Samsula,3,A/D,92.0,,
323143,"Basinger fine sand, frequently ponded, 0 to 1 percent slopes",26973463,Floridana,2,C/D,92.0,97.0,2.0
323154,"Candler fine sand, 0 to 5 percent slopes",26973509,Candler,85,A,91.74,97.1,1.4
323154,"Candler fine sand, 0 to 5 percent slopes",26973511,Astatula,4,A,247.0,97.8,1.3
323154,"Candler fine sand, 0 to 5 percent slopes",26973512,Apopka,3,A,92.0,97.9,1.5
323154,"Candler fine sand, 0 to 5 percent slopes",26973510,Adamsville,3,A,92.0,97.9,1.5
323154,"Candler fine sand, 0 to 5 percent slopes",26973513,Tavares,2,A,91.74,97.9,1.5
323154,"Candler fine sand, 0 to 5 percent slopes",26973515,Arredondo,2,A,211.71,96.0,3.0
323154,"Candler fine sand, 0 to 5 percent slopes",26973514,Millhopper,1,A,92.0,96.3,3.0
323165,"Candler fine sand, 5 to 12 percent slopes",26973568,Candler,94,A,92.0,97.9,1.5
323165,"Candler fine sand, 5 to 12 percent slopes",26973565,Apopka,2,A,92.0,97.9,1.5
323165,"Candler fine sand, 5 to 12 percent slopes",26973566,Millhopper,2,A,92.0,94.0,5.0
323165,"Candler fine sand, 5 to 12 percent slopes",26973567,Tavares,2,A,92.0,97.0,2.0
323176,Water,26973623,Water,100,,,,
1542264,"Candler sand, 12 to 40 percent slopes",26366722,Candler,90,A,247.0,97.9,1.5
1542264,"Candler sand, 12 to 40 percent slopes",26366720,Apopka,5,A,92.0,97.0,1.5
1542264,"Candler sand, 12 to 40 percent slopes",26366721,Kendrick,5,A,92.0,94.6,4.0
1542266,Cassia sand,26366724,Cassia,90,A/D,28.0,96.0,2.5
1542266,Cassia sand,26366723,Immokalee,10,B/D,92.0,95.5,3.0
1542288,"Orlando fine sand, 0 to 5 percent slopes",26366850,Orlando,95,A,92.0,96.3,3.0
1542288,"Orlando fine sand, 0 to 5 percent slopes",26366851,Candler,3,A,92.0,97.3,1.8
1542288,"Orlando fine sand, 0 to 5 percent slopes",26366852,Seffner,2,A/D,91.74,94.5,4.5
1542304,Water,26366764,Water,100,,,,
1603135,"Candler sand, 0 to 5 percent slopes",26366847,Candler,90,A,141.0,96.7,2.5
1603135,"Candler sand, 0 to 5 percent slopes",26366848,Tavares,5,A,247.0,96.5,2.0
1603135,"Candler sand, 0 to 5 percent slopes",26366849,Millhopper,5,A,91.74,97.4,1.7
1603136,"Candler sand, 5 to 12 percent slopes",26366870,Candler,85,A,247.0,97.9,1.5
1603136,"Candler sand, 5 to 12 percent slopes",26366866,Apopka,6,A,92.0,97.0,1.5
1603136,"Candler sand, 5 to 12 percent slopes",26366868,Kendrick,5,A,92.0,94.6,4.0
1603136,"Candler sand, 5 to 12 percent slopes",26366867,Adamsville,3,A,92.0,95.9,1.5
1603136,"Candler sand, 5 to 12 percent slopes",26366869,Pompano,1,A/D,247.0,96.0,2.5
